,no battery,trivial,best theta hat B trivialfirst,theory
0,1836228335.1155946,1682923174.6868012,1682827761.6201184,1790194313.295325
1,1955255235.4416468,1683661276.0570052,1683575044.8917785,1853983331.6568022
2,2071014312.707523,1684765529.8018415,1684680287.8818896,1910819670.6380587
3,2181181667.1743727,1686484392.1402528,1686384913.7454634,1960792422.6377702
4,2290706585.134343,1688045290.4268231,1687924105.172882,2014955511.2482302
5,2379346723.382859,1691152010.2151406,1690726517.8772926,2045612041.097732
6,2461665170.791465,1694907741.6446362,1694115369.4884765,2072818660.9254768
7,2541269571.96598,1698212376.9413633,1696631475.6490905,2111910781.7434204
8,2633706990.2886953,1702143291.553519,1699149274.8234766,2127333634.9072618
9,2697603313.3470817,1706895464.4024327,1702699654.6767952,2145133313.9007409
10,2743948893.948389,1715818832.731733,1706750956.7529926,2125082141.4141662
